morani,p,year
0.2206254354227836,0,2012
0.22710323343177463,0,2011
0.23602347043638677,0,2010
0.23824280443323514,0,2009
0.24534932756230865,0,2008
0.25161110284611976,0,2007
0.018077848743999755,4.1049479674889686e-295,2006
0.04528583910738263,0,2005
0.05155184683708483,0,2004
0.07828754623620014,0,2003
0.07709607373639313,0,2002
0.18410403383493718,0,2001
0.2392794741767054,0,2000
0.21539814694671133,0,1999
0.18601798879572626,0,1998
0.12960030092932776,0,1997
0.05060686435023087,0,1996
