LAD,estimate,fast,early/late
Halton,2007.1,slow,late coming
Blackpool,2002.4,fast,late coming
Rutland,2006.5,slow,late coming
Torbay,2002.2,fast,late coming
Isles of Scilly,2012.2,slow,late coming
North Devon,2002.9,fast,late coming
Gosport,2003.8,slow,late coming
Thanet,2004,slow,late coming
Na h-Eileanan Siar,NA,NA,late coming
Conwy,2002.6,fast,late coming
Slough,NA,NA,early adopting
Three Rivers,2003.5,slow,early adopting
Epsom and Ewell,2003,fast,early adopting
City of London,2001.9,fast,early adopting
Hillingdon,2002.6,fast,early adopting
Hounslow,2002.5,fast,early adopting
Kensington and Chelsea,2001.6,fast,early adopting
Kingston upon Thames,2001.5,fast,early adopting
Richmond upon Thames,2002.5,fast,early adopting
Wandsworth,2002.4,fast,early adopting
