rowname,n,abs.growth,n.l.slag,n.nearest.city.lag,n.nearest.retail.lag,n.London.lag,London,dist,dist.retail
n,1,0.39952754523309975,0.3637549762247669,0.11391917857685396,0.2215657637806594,0.14529820222830295,-0.08380767046349484,0.004671174749824482,-0.0125744870690654
abs.growth,0.39952754523309975,1,0.04745087356924576,0.003718575682352216,0.026719295801211556,-0.009302656073360149,-0.021850946319995405,7.58088011085316e-4,-0.002754071642212801
n.l.slag,0.3637549762247669,0.04745087356924576,1,0.2182918760157407,0.3770280355031869,0.28002170228220225,-0.14520445636135773,0.013978953873751579,-0.016426219977257104
n.nearest.city.lag,0.11391917857685396,0.003718575682352216,0.2182918760157407,1,0.13696766696827473,0.40208864934429955,-0.4971663486095607,-0.03358601068030658,-0.11182199953871899
n.nearest.retail.lag,0.2215657637806594,0.026719295801211556,0.3770280355031869,0.13696766696827473,1,0.17219001536742476,-0.06124365350740336,-0.005488689883043529,-0.020331654213985393
n.London.lag,0.14529820222830295,-0.009302656073360149,0.28002170228220225,0.40208864934429955,0.17219001536742476,1,-9.555535829089981e-12,-7.1619578999749684e-12,-3.91702177678458e-12
London,-0.08380767046349484,-0.021850946319995405,-0.14520445636135773,-0.4971663486095607,-0.06124365350740336,-9.555535829089981e-12,1,0.2322335569995167,0.2852691882443821
dist,0.004671174749824482,7.58088011085316e-4,0.013978953873751579,-0.03358601068030658,-0.005488689883043529,-7.1619578999749684e-12,0.2322335569995167,1,0.2803220530046469
dist.retail,-0.0125744870690654,-0.002754071642212801,-0.016426219977257104,-0.11182199953871899,-0.020331654213985393,-3.91702177678458e-12,0.2852691882443821,0.2803220530046469,1
